"year","grand_prix","session_type","driver","team","total_laps","avg_lap_time_s","best_lap_time_s","avg_sector1_s","avg_sector2_s","avg_sector3_s","avg_speed_trap_kmh","max_speed_trap_kmh","soft_laps","medium_laps","hard_laps","rank_in_race"
2018,Abu Dhabi Grand Prix,Q,HAM,Mercedes,8,106.947,94.794,18.897,44.27,43.78,295.8,323.0,0,0,0,1
2018,Abu Dhabi Grand Prix,Q,BOT,Mercedes,7,101.126,94.956,17.857,43.026,40.243,306.9,327.0,0,0,0,2
2018,Abu Dhabi Grand Prix,Q,VET,Ferrari,8,105.94,95.125,18.721,45.561,41.657,291.8,333.0,0,0,0,3
2018,Abu Dhabi Grand Prix,Q,RAI,Ferrari,8,107.735,95.365,18.63,45.099,44.006,307.9,334.0,0,0,0,4
2018,Abu Dhabi Grand Prix,Q,RIC,Red Bull Racing,6,105.06,95.401,18.34,44.136,42.584,307.2,323.0,0,0,0,5
2018,Abu Dhabi Grand Prix,Q,VER,Red Bull Racing,4,96.545,95.589,17.27,41.168,38.106,319.3,322.0,0,0,0,6
2018,Abu Dhabi Grand Prix,Q,GRO,Haas F1 Team,5,96.767,96.192,17.011,41.187,38.569,324.6,327.0,0,0,0,7
2018,Abu Dhabi Grand Prix,Q,LEC,Sauber,8,102.948,96.237,18.539,43.667,40.743,313.1,335.0,0,0,0,8
2018,Abu Dhabi Grand Prix,Q,OCO,Racing Point,6,97.188,96.54,17.168,41.098,38.922,329.5,333.0,0,0,0,9
2018,Abu Dhabi Grand Prix,Q,HUL,Renault,5,96.93,96.542,17.275,41.277,38.378,325.0,327.0,0,0,0,10
2018,Abu Dhabi Grand Prix,Q,SAI,Renault,3,97.296,96.982,17.291,41.375,38.631,327.3,329.0,0,0,0,11
2018,Abu Dhabi Grand Prix,Q,ERI,Sauber,5,98.119,97.132,17.17,41.562,39.386,329.4,333.0,0,0,0,12
2018,Abu Dhabi Grand Prix,Q,PER,Racing Point,4,97.889,97.255,17.213,41.53,39.146,328.0,331.0,0,0,0,13
2018,Abu Dhabi Grand Prix,Q,MAG,Haas F1 Team,4,97.963,97.309,17.135,41.521,39.307,326.8,329.0,0,0,0,14
2018,Abu Dhabi Grand Prix,Q,ALO,McLaren,5,98.589,97.743,17.361,41.835,39.393,323.0,325.0,0,0,0,15
2018,Abu Dhabi Grand Prix,Q,HAR,Toro Rosso,3,98.278,97.994,17.51,41.698,39.07,326.0,328.0,0,0,0,16
2018,Abu Dhabi Grand Prix,Q,GAS,Toro Rosso,5,115.62,98.166,21.02,48.068,46.532,285.4,327.0,0,0,0,17
2018,Abu Dhabi Grand Prix,Q,VAN,McLaren,3,99.198,98.577,17.511,41.986,39.701,321.0,323.0,0,0,0,18
2018,Abu Dhabi Grand Prix,Q,SIR,Williams,2,99.163,98.635,17.502,41.924,39.737,326.5,328.0,0,0,0,19
2018,Abu Dhabi Grand Prix,Q,STR,Williams,2,99.423,98.682,17.593,42.061,39.769,327.5,328.0,0,0,0,20
2018,Abu Dhabi Grand Prix,R,VET,Ferrari,47,103.41,100.867,17.791,43.903,41.715,312.6,338.0,0,0,0,1
2018,Abu Dhabi Grand Prix,R,BOT,Mercedes,45,104.033,100.953,17.926,44.219,41.889,300.3,327.0,0,0,0,2
2018,Abu Dhabi Grand Prix,R,RIC,Red Bull Racing,47,103.788,101.249,18.064,44.161,41.563,298.5,325.0,0,0,0,3
2018,Abu Dhabi Grand Prix,R,SAI,Renault,47,104.836,101.351,18.129,44.359,42.347,300.9,331.0,0,0,0,4
2018,Abu Dhabi Grand Prix,R,HAM,Mercedes,49,103.7,101.357,17.981,44.119,41.6,301.3,323.0,0,0,0,5
